"Altitude", "TempKelvin", "Pressure"
66.852,233.2,1.436E-01,0.9992
66.003,236.0,1.672E-01,0.9991
64.748,240.2,2.085E-01,0.9991
63.603,244.1,2.544E-01,0.9991
62.597,247.6,3.021E-01,0.9990
61.62,250.6,3.567E-01,0.9990
60.736,253.9,4.130E-01,0.9989
59.958,257.8,4.671E-01,0.9988
59.188,262.5,5.251E-01,0.9988
58.517,267.5,5.782E-01,0.9986
57.766,273.1,6.430E-01,0.9985
57.192,278.9,6.921E-01,0.9984
56.576,285.3,7.476E-01,0.9983
55.919,292.2,8.098E-01,0.9982
55.355,299.4,8.623E-01,0.9980
54.763,305.1,9.253E-01,0.9979
54.493,308.3,9.532E-01,0.9978
53.955,314.3,1.012E+00,0.9977
53.447,319.1,1.073E+00,0.9975
52.937,324.5,1.134E+00,0.9974
52.454,329.3,1.196E+00,0.9973
51.985,334.5,1.256E+00,0.9972
51.513,338.2,1.324E+00,0.9971
51.081,342.4,1.386E+00,0.9970
50.621,346.7,1.455E+00,0.9969
50.137,350.9,1.532E+00,0.9968
49.699,353.9,1.609E+00,0.9967
49.308,357.7,1.674E+00,0.9965
48.892,361.3,1.747E+00,0.9964
48.463,363.9,1.831E+00,0.9963
48.089,366.3,1.907E+00,0.9962
47.707,368.4,1.989E+00,0.9961
47.334,370.5,2.071E+00,0.9961
47.008,372.3,2.146E+00,0.9960
46.637,374.0,2.236E+00,0.9959
46.285,376.7,2.318E+00,0.9958
45.875,378.6,2.424E+00,0.9958
45.541,381.0,2.508E+00,0.9957
45.2,183.8,2.594E+00,0.9956
44.853,385.6,2.691E+00,0.9955
44.556,387.7,2.773E+00,0.9954
44.247,389.5,2.862E+00,0.9954
43.925,391.2,2.960E+00,0.9953
43.602,393.2,3.059E+00,0.9952
43.322,394.7,3.148E+00,0.9952
43.028,396.4,3.243E+00,0.9951
42.723,398.3,3.345E+00,0.9951
42.44,400.0,3.441E+00,0.9950
42.164,401.7,3.536E+00,0.9949
41.868,403.8,3.639E+00,0.9949
41.589,405.7,3.738E+00,0.9948
41.347,407.9,3.822E+00,0.9948
41.052,409.7,3.934E+00,0.9947
40.794,411.6,4.031E+00,0.9947
40.542,413.4,4.128E+00,0.9946
40.269,415.4,4.234E+00,0.9945
40.028,417.0,4.332E+00,0.9945
39.768,419.1,4.435E+00,0.9944
39.538,421.1,4.527E+00,0.9944
39.289,422.4,4.638E+00,0.9943
39.046,424.3,4.742E+00,0.9943
38.855,425.9,4.823E+00,0.9942
38.597,427.8,4.936E+00,0.9942
38.346,429.7,5.049E+00,0.9941
38.122,431.6,5.149E+00,0.9941
37.902,432.9,5.255E+00,0.9940
37.666,435.0,5.363E+00,0.9939
37.434,436.6,5.477E+00,0.9939
37.227,438.4,5.574E+00,0.9938
37.004,439.9,5.687E+00,0.9938
36.766,441.8,5.806E+00,0.9937
36.552,443.3,5.917E+00,0.9937
36.323,445.2,6.033E+00,0.9936
36.116,447.2,6.136E+00,0.9936
35.914,448.7,6.244E+00,0.9935
35.679,450.4,6.373E+00,0.9935
35.466,452.0,6.490E+00,0.9935
35.257,453.6,6.606E+00,0.9934
35.051,455.3,6.722E+00,0.9934
34.849,456.9,6.837E+00,0.9934
34.634,458.6,6.960E+00,0.9933
34.456,460.0,7.065E+00,0.9933
34.247,461.7,7.187E+00,0.9933
34.059,463.2,7.301E+00,0.9932
33.873,464.8,7.411E+00,0.9932
33.72,466.6,7.496E+00,0.9932
33.508,468.5,7.623E+00,0.9931
33.316,470.0,7.744E+00,0.9931
33.126,471.2,7.870E+00,0.9931
32.925,473.3,7.991E+00,0.9930
32.741,474.5,8.115E+00,0.9930
32.545,476.2,8.241E+00,0.9930
32.353,477.5,8.373E+00,0.9929
32.178,479.1,8.488E+00,0.9929
31.991,480.7,8.613E+00,0.9929
31.82,482.2,8.728E+00,0.9929
31.664,483.9,8.830E+00,0.9928
31.485,485.6,8.951E+00,0.9928
31.308,486.8,9.080E+00,0.9928
31.134,487.9,9.211E+00,0.9927
30.962,489.5,9.332E+00,0.9927
