"Altitude", "TempKelvin", "Pressure"
65.135,238.3,1.985E-01
64.049,241.0,2.410E-01
63.068,245.7,2.838E-01
62.096,250.1,3.332E-01
61.201,257.2,3.806E-01
60.348,260.0,4.374E-01
59.560,264.4,4.933E-01
58.818,268.7,5.510E-01
58.166,273.7,6.035E-01
57.462,278.5,6.663E-01
56.826,283.0,7.271E-01
56.214,289.2,7.843E-01
55.633,295.8,8.396E-01
55.049,301.3,9.014E-01
54.469,306.8,9.658E-01
53.940,312.2,1.026E+00
53.413,317.6,1.089E+00
53.183,320.1,1.117E+00
52.702,325.2,1.177E+00
52.209,330.0,1.242E+00
51.741,334.3,1.308E+00
51.263,338.2,1.380E+00
50.802,341.8,1.453E+00
50.363,345.5,1.524E+00
49.930,349.3,1.596E+00
49.503,353.3,1.668E+00
49.098,356.9,1.740E+00
48.685,360.8,1.814E+00
48.285,364.7,1.889E+00
47.902,367.7,1.965E+00
47.532,371.0,2.039E+00
47.162,372.7,2.125E+00
46.802,374.3,2.211E+00
46.447,376.2,2.298E+00
46.090,378.5,2.385E+00
45.799,380.6,2.457E+00
45.471,383.1,2.539E+00
45.100,385.6,2.637E+00
44.792,387.3,2.723E+00
44.482,389.3,2.811E+00
44.162,391.2,2.905E+00
43.859,393.3,2.994E+00
43.543,395.3,3.090E+00
43.252,397.1,3.183E+00
42.968,398.8,3.274E+00
42.659,400.7,3.377E+00
42.381,402.8,3.468E+00
42.089,404.2,3.573E+00
41.808,406.0,3.672E+00
41.523,408.0,3.775E+00
41.262,409.5,3.873E+00
41.000,410.9,3.975E+00
40.747,412.6,4.072E+00
40.460,414.1,4.189E+00
40.198,415.8,4.295E+00
39.928,417.1,4.411E+00
39.685,418.7,4.514E+00
39.432,420.0,4.626E+00
39.188,421.5,4.734E+00
38.917,422.7,4.863E+00
38.684,424.9,4.962E+00
38.454,427.0,5.062E+00
38.231,428.9,5.163E+00
37.997,430.9,5.269E+00
37.767,432.5,5.380E+00
37.532,434.4,5.492E+00
37.294,436.3,5.608E+00
37.056,438.3,5.726E+00
36.854,440.2,5.823E+00
36.635,442.0,5.934E+00
36.416,443.9,6.045E+00
36.197,445.7,6.159E+00
36.105,447.0,6.200E+00
35.888,448.9,6.313E+00
35.653,450.5,6.444E+00
35.460,452.1,6.549E+00
35.253,453.8,6.663E+00
35.043,455.8,6.779E+00
34.849,457.6,6.886E+00
34.639,459.3,7.007E+00
34.439,461.0,7.123E+00
34.232,462.7,7.244E+00
34.020,464.3,7.373E+00
33.813,466.0,7.499E+00
33.760,467.7,7.511E+00
33.402,469.2,7.757E+00
33.248,470.9,7.846E+00
33.054,472.5,7.970E+00
32.869,474.3,8.086E+00
32.673,475.8,8.215E+00
32.481,477.4,8.342E+00
32.304,478.9,8.459E+00
32.130,480.4,8.575E+00
31.919,482.2,8.718E+00
31.751,483.7,8.832E+00
31.571,485.0,8.961E+00
31.407,486.8,9.068E+00
31.220,488.3,9.202E+00
31.060,489.5,9.320E+00
30.878,491.4,9.445E+00
30.698,492.8,9.578E+00
30.533,494.3,9.698E+00
30.358,495.6,9.832E+00
30.197,497.0,9.953E+00
30.060,498.5,1.005E+01
29.880,499.9,1.019E+01
29.714,501.2,1.032E+01
29.560,502.8,1.044E+01
29.376,504.3,1.058E+01
29.226,505.6,1.070E+01
29.057,507.1,1.084E+01
28.900,508.5,1.096E+01
28.735,509.9,1.110E+01
28.572,511.2,1.123E+01
28.431,512.4,1.135E+01
28.272,513.1,1.150E+01
28.114,515.1,1.162E+01
27.958,516.4,1.175E+01
27.718,519.0,1.195E+01
27.370,521.9,1.225E+01
27.058,524.4,1.254E+01
26.762,527.0,1.280E+01
26.437,529.5,1.311E+01
26.146,531.8,1.339E+01
25.843,534.4,1.368E+01
25.555,536.9,1.396E+01
25.281,538.8,1.424E+01
24.997,541.6,1.452E+01
24.702,544.0,1.482E+01
24.436,546.3,1.510E+01
24.168,548.7,1.538E+01
23.904,551.0,1.566E+01
23.638,553.4,1.594E+01
23.356,555.6,1.626E+01
23.092,557.7,1.655E+01
22.834,559.9,1.684E+01
22.567,562.1,1.715E+01
22.304,564.2,1.746E+01
22.040,566.6,1.777E+01
21.755,568.6,1.812E+01
21.494,570.7,1.844E+01
21.256,572.7,1.873E+01
21.003,574.5,1.906E+01
20.749,576.8,1.937E+01
20.500,578.6,1.970E+01
20.259,580.6,2.002E+01
20.018,582.6,2.033E+01
19.796,584.6,2.062E+01
19.550,586.3,2.097E+01
19.319,588.3,2.128E+01
19.097,590.2,2.158E+01
18.862,592.1,2.191E+01
18.657,593.9,2.220E+01
18.433,595.5,2.253E+01
18.228,597.5,2.281E+01
18.016,599.1,2.313E+01
17.797,601.1,2.344E+01
17.590,602.7,2.376E+01
17.391,604.2,2.406E+01
17.185,606.3,2.435E+01
16.963,607.7,2.471E+01
16.780,609.5,2.498E+01
16.564,611.1,2.532E+01
16.381,613.1,2.559E+01
16.179,614.7,2.591E+01
15.992,616.5,2.620E+01
15.773,617.9,2.657E+01
15.574,619.5,2.690E+01
15.377,621.1,2.722E+01
15.170,622.3,2.759E+01
14.962,624.3,2.793E+01
14.760,625.5,2.829E+01
14.553,627.3,2.864E+01
14.364,628.8,2.898E+01
14.151,630.2,2.937E+01
13.944,631.9,2.973E+01
13.747,633.3,3.009E+01
13.360,636.7,3.078E+01
12.989,639.7,3.147E+01
12.573,642.4,3.229E+01
12.195,645.7,3.300E+01
11.792,648.3,3.382E+01
11.444,651.3,3.450E+01
11.084,653.6,3.526E+01
10.744,655.8,3.599E+01
10.392,658.3,3.674E+01
10.051,660.2,3.751E+01
9.678,663.8,3.828E+01
9.344,665.8,3.905E+01
8.983,669.0,3.983E+01
8.626,671.5,4.066E+01
8.274,673.5,4.152E+01
7.958,676.8,4.221E+01
7.637,678.0,4.306E+01
7.299,680.4,4.389E+01
6.965,683.2,4.470E+01
6.632,685.4,4.555E+01
6.315,688.0,4.634E+01
6.000,689.8,4.720E+01
5.682,692.3,4.802E+01
5.370,694.7,4.885E+01
5.070,696.4,4.970E+01
4.756,698.9,5.054E+01
4.468,701.0,5.134E+01
4.173,703.6,5.212E+01
3.866,705.4,5.302E+01
3.581,707.2,5.386E+01
3.286,710.0,5.466E+01
2.997,711.6,5.555E+01
2.720,713.8,5.635E+01
2.442,716.0,5.717E+01
2.171,718.2,5.797E+01
1.897,719.7,5.885E+01
1.636,721.6,5.966E+01
1.358,724.0,6.049E+01
1.095,725.6,6.136E+01
0.825,727.7,6.221E+01
0.559,730.0,6.303E+01
0.306,732.0,6.384E+01
0.040,733.5,6.476E+01
-0.220,735.5,6.562E+01
-0.490,737.7,6.650E+01
-0.650,738.5,6.708E+01
