"Altitude", "TempKelvin", "Pressure"
61.262,234.0,3.687E-01
60.395,240.8,4.230E-01
59.550,246.3,4.843E-01
58.835,252.6,5.382E-01
58.119,261.0,5.916E-01
57.439,267.6,6.487E-01
56.768,273.7,7.101E-01
56.204,280.2,7.612E-01
55.564,286.3,8.260E-01
55.053,292.1,8.775E-01
54.424,298.0,9.482E-01
53.929,303.8,1.003E+00
53.368,309.3,1.071E+00
52.914,314.4,1.126E+00
52.373,319.7,1.197E+00
51.886,324.7,1.263E+00
51.424,329.4,1.328E+00
50.968,334.2,1.394E+00
50.505,338.6,1.466E+00
50.106,342.8,1.527E+00
49.659,346.7,1.602E+00
49.233,349.2,1.683E+00
48.824,351.3,1.765E+00
48.684,352.7,1.790E+00
48.278,356.2,1.868E+00
47.876,359.3,1.950E+00
47.525,362.0,2.024E+00
47.147,365.4,2.103E+00
46.763,368.5,2.188E+00
46.393,371.5,2.272E+00
46.056,374.1,2.352E+00
45.698,376.9,2.439E+00
45.366,379.6,2.521E+00
45.040,381.6,2.609E+00
44.725,382.4,2.704E+00
44.405,384.2,2.796E+00
44.083,386.6,2.888E+00
43.790,388.8,2.973E+00
43.498,390.7,3.062E+00
43.193,392.1,3.163E+00
42.873,393.8,3.269E+00
42.570,396.2,3.367E+00
42.279,397.9,3.467E+00
41.999,400.0,3.562E+00
41.733,402.1,3.654E+00
41.470,403.8,3.749E+00
41.185,405.5,3.856E+00
40.912,407.8,3.954E+00
40.636,409.4,4.063E+00
40.413,411.4,4.146E+00
40.154,413.4,4.248E+00
39.876,415.3,4.361E+00
39.643,417.0,4.457E+00
39.364,418.9,4.575E+00
39.142,420.6,4.669E+00
38.876,422.5,4.785E+00
38.640,424.4,4.888E+00
38.416,426.1,4.988E+00
38.173,428.0,5.097E+00
37.895,429.9,5.229E+00
37.678,431.6,5.330E+00
37.424,433.4,5.455E+00
37.217,435.3,5.552E+00
37.003,437.2,5.655E+00
36.773,439.0,5.769E+00
36.538,440.9,5.888E+00
36.327,442.6,5.996E+00
36.101,444.3,6.115E+00
35.898,446.0,6.222E+00
35.680,447.5,6.342E+00
35.466,449.3,6.458E+00
35.247,451.0,6.579E+00
35.032,452.5,6.703E+00
34.847,454.3,6.804E+00
34.664,455.9,6.908E+00
34.451,457.6,7.032E+00
34.258,459.2,7.145E+00
34.068,460.7,7.259E+00
33.865,462.0,7.387E+00
33.666,463.8,7.506E+00
33.471,465.2,7.630E+00
33.234,466.6,7.788E+00
33.060,468.2,7.896E+00
32.873,469.7,8.017E+00
32.662,471.5,8.154E+00
32.495,472.8,8.265E+00
32.277,474.4,8.415E+00
32.129,475.9,8.510E+00
31.943,477.3,8.641E+00
31.772,479.1,8.752E+00
31.527,480.4,8.936E+00
31.388,481.8,9.031E+00
31.200,483.3,9.166E+00
31.040,484.7,9.281E+00
30.869,486.1,9.406E+00
30.701,487.4,9.532E+00
30.523,488.8,9.667E+00
30.382,490.3,9.766E+00
30.197,491.7,9.910E+00
30.014,493.0,1.006E+01
29.857,494.4,1.018E+01
29.679,495.8,1.032E+01
29.493,497.1,1.047E+01
29.330,498.5,1.060E+01
29.160,499.8,1.074E+01
29.012,500.8,1.087E+01
28.835,502.4,1.101E+01
28.661,503.7,1.116E+01
28.539,505.1,1.125E+01
28.378,506.5,1.139E+01
28.219,507.6,1.153E+01
28.052,509.0,1.167E+01
27.859,510.4,1.185E+01
27.725,511.7,1.196E+01
27.574,512.7,1.210E+01
27.452,514.1,1.220E+01
27.030,517.4,1.259E+01
26.886,518.6,1.273E+01
26.586,521.1,1.301E+01
26.343,523.9,1.322E+01
26.011,526.4,1.355E+01
25.754,528.8,1.379E+01
25.452,531.1,1.410E+01
25.188,533.7,1.436E+01
24.906,536.1,1.465E+01
24.599,538.4,1.498E+01
24.328,540.8,1.526E+01
24.056,543.0,1.556E+01
23.802,545.4,1.583E+01
23.518,547.6,1.615E+01
23.246,549.9,1.646E+01
22.999,552.3,1.673E+01
22.704,554.4,1.708E+01
22.466,556.5,1.736E+01
22.245,558.6,1.761E+01
21.996,560.8,1.791E+01
21.751,562.8,1.821E+01
21.509,565.0,1.850E+01
21.272,567.0,1.879E+01
20.973,569.0,1.919E+01
20.732,571.0,1.950E+01
20.495,572.9,1.981E+01
20.240,574.9,2.015E+01
20.016,576.9,2.045E+01
19.790,578.9,2.075E+01
19.562,580.9,2.106E+01
19.338,582.7,2.137E+01
19.095,584.7,2.171E+01
18.877,586.6,2.202E+01
18.667,588.3,2.232E+01
18.445,590.1,2.264E+01
18.182,591.9,2.304E+01
17.977,593.7,2.334E+01
17.769,595.5,2.365E+01
17.536,597.3,2.401E+01
17.330,599.1,2.432E+01
17.121,601.2,2.463E+01
16.906,602.8,2.497E+01
16.708,604.8,2.527E+01
16.503,606.3,2.560E+01
16.357,608.0,2.581E+01
16.135,609.5,2.619E+01
15.920,611.3,2.654E+01
15.733,612.8,2.685E+01
15.515,614.6,2.721E+01
15.333,616.2,2.751E+01
15.124,617.7,2.787E+01
14.926,619.3,2.821E+01
14.718,621.1,2.857E+01
14.514,622.4,2.895E+01
14.350,624.2,2.921E+01
14.127,625.7,2.963E+01
13.899,627.5,3.004E+01
13.696,629.2,3.040E+01
13.511,630.7,3.075E+01
13.306,632.2,3.113E+01
13.122,633.9,3.147E+01
12.918,635.5,3.186E+01
12.801,636.8,3.206E+01
12.594,638.6,3.245E+01
12.406,640.2,3.281E+01
12.028,643.2,3.355E+01
11.667,646.1,3.427E+01
11.295,649.2,3.503E+01
10.975,651.7,3.569E+01
10.629,654.5,3.640E+01
10.291,657.2,3.712E+01
9.974,659.7,3.780E+01
9.633,662.4,3.854E+01
9.298,665.1,3.928E+01
8.970,667.6,4.002E+01
8.662,670.1,4.072E+01
8.359,672.4,4.142E+01
8.070,674.7,4.210E+01
7.769,677.0,4.281E+01
7.455,679.5,4.356E+01
7.146,681.9,4.432E+01
6.842,684.2,4.507E+01
6.544,686.6,4.581E+01
6.250,688.8,4.656E+01
5.961,691.1,4.730E+01
5.654,693.5,4.810E+01
5.362,695.8,4.886E+01
5.076,698.0,4.963E+01
4.782,700.2,5.042E+01
4.482,702.6,5.123E+01
4.219,704.6,5.195E+01
3.928,706.8,5.276E+01
3.631,709.1,5.359E+01
3.338,711.3,5.442E+01
3.050,713.5,5.525E+01
2.776,715.6,5.605E+01
2.477,717.9,5.693E+01
2.201,719.9,5.775E+01
1.910,722.2,5.862E+01
1.642,724.2,5.944E+01
1.360,726.4,6.030E+01
1.100,728.4,6.111E+01
0.980,729.3,6.148E+01
