"Altitude", "TempKelvin", "Pressure"
64.827,246.3,1.964E-01
64.336,246.9,2.146E-01
64.188,246.6,2.207E-01
64.034,246.9,2.269E-01
63.883,247.2,2.330E-01
63.732,247.0,2.397E-01
63.581,247.6,2.458E-01
63.433,247.7,2.525E-01
63.289,248.2,2.588E-01
63.144,248.9,2.650E-01
63.002,249.3,2.715E-01
62.864,249.6,2.780E-01
62.729,250.3,2.841E-01
62.588,251.2,2.904E-01
62.451,252.2,2.966E-01
62.321,252.9,3.028E-01
62.189,253.5,3.093E-01
62.122,254.3,3.120E-01
61.995,254.8,3.186E-01
61.862,255.6,3.251E-01
61.729,255.9,3.325E-01
61.603,256.3,3.395E-01
61.479,256.6,3.468E-01
61.354,257.1,3.539E-01
61.228,258.0,3.605E-01
61.102,258.9,3.673E-01
60.984,259.8,3.737E-01
60.868,260.7,3.800E-01
60.754,261.6,3.863E-01
60.639,262.5,3.928E-01
60.525,263.6,3.989E-01
60.411,264.7,4.051E-01
60.301,265.6,4.114E-01
60.187,266.8,4.177E-01
60.075,267.5,4.247E-01
59.965,268.4,4.312E-01
59.849,269.1,4.386E-01
59.729,269.9,4.463E-01
59.614,270.3,4.543E-01
59.506,270.8,4.618E-01
59.403,271.3,4.690E-01
59.301,271.5,4.767E-01
59.200,271.7,4.845E-01
59.094,271.8,4.929E-01
58.988,272.0,5.014E-01
58.879,272.3,5.102E-01
58.785,272.5,5.179E-01
58.688,272.7,5.260E-01
58.588,273.0,5.342E-01
58.486,273.2,5.430E-01
58.383,273.8,5.511E-01
58.279,274.3,5.597E-01
58.184,275.0,5.672E-01
58.081,275.6,5.756E-01
57.982,276.1,5.841E-01
57.888,276.7,5.919E-01
57.795,277.2,5.999E-01
57.706,277.6,6.078E-01
57.612,278.3,6.157E-01
57.516,278.7,6.246E-01
57.423,279.0,6.335E-01
57.331,279.6,6.417E-01
57.242,280.0,6.501E-01
57.149,280.6,6.588E-01
57.055,281.0,6.679E-01
56.961,281.5,6.770E-01
56.870,281.9,6.860E-01
56.785,282.4,6.943E-01
56.701,283.0,7.022E-01
56.615,283.3,7.113E-01
56.530,284.1,7.191E-01
56.441,284.8,7.276E-01
56.355,285.5,7.359E-01
56.266,286.2,7.445E-01
56.181,287.1,7.524E-01
56.094,287.9,7.607E-01
56.007,288.8,7.688E-01
55.928,289.7,7.760E-01
55.838,290.6,7.846E-01
55.763,291.3,7.921E-01
55.680,292.2,7.998E-01
55.600,293.1,8.074E-01
55.520,293.9,8.153E-01
55.450,294.8,8.217E-01
55.365,295.6,8.303E-01
55.292,296.4,8.374E-01
55.209,297.3,8.457E-01
55.119,298.3,8.544E-01
55.033,299.0,8.638E-01
54.961,299.8,8.709E-01
54.888,300.7,8.781E-01
54.815,301.4,8.858E-01
54.744,302.1,8.933E-01
54.658,302.8,9.028E-01
54.581,303.7,9.106E-01
54.513,304.5,9.175E-01
54.436,305.2,9.261E-01
54.358,305.9,9.347E-01
54.285,306.8,9.426E-01
54.201,307.7,9.516E-01
54.125,308.4,9.601E-01
