"Altitude", "Pressure", "TempKelvin"
128.3,1.06E-07,170.2
127.0,1.47E-07,169.4
125.8,1.56E-07,210.0
124.6,1.75E-07,237.3
123.4,1.92E-07,266.6
122.2,2.61E-07,241.0
121.0,3.76E-07,212.3
119.8,5.68E-07,184.4
118.6,7.25E-07,192.3
117.4,1.22E-06,154.2
116.2,1.53E-06,170.4
115.0,1.75E-06,198.0
113.8,2.07E-06,216.0
112.6,2.82E-06,204.5
111.4,3.61E-06,206.3
110.2,5.06E-06,192.6
109.0,6.77E-06,189.9
107.9,8.96E-06,189.7
106.7,1.18E-05,190.3
105.5,1.58E-05,188.4
104.3,2.23E-05,178.4
103.1,2.86E-05,186.0
101.9,3.82E-05,185.1
100.7,5.41E-05,175.7
99.5,7.79E-05,166.4
98.3,1.12E-04,160.6
97.1,1.64E-04,153.7
95.9,2.43E-04,147.4
94.8,3.49E-04,147.5
93.6,4.48E-04,161.5
92.4,5.87E-04,169.5
91.2,7.93E-04,170.8
90.1,1.02E-03,178.9
88.9,1.34E-03,182.0
87.8,1.71E-03,187.5
86.7,2.26E-03,185.9
85.6,3.12E-03,177.1
84.5,4.18E-03,174.5
83.4,5.31E-03,179.4
82.4,6.61E-03,185.3
81.5,8.07E-03,191.4
81.0,8.87E-03,194.3
80.1,1.06E-02,200.4
79.3,1.23E-02,206.9
78.5,1.43E-02,211.0
77.7,1.66E-02,212.8
77.0,1.92E-02,213.0
76.4,2.17E-02,215.2
75.8,2.42E-02,217.5
75.3,2.65E-02,222.0
74.8,2.83E-02,229.0
74.4,3.13E-02,226.2
74.0,3.39E-02,226.4
73.6,3.71E-02,223.3
73.3,3.95E-02,224.4
72.9,4.24E-02,222.8
72.6,4.42E-02,226.7
72.4,4.59E-02,230.4
72.1,4.73E-02,234.7
71.9,4.91E-02,236.5
71.7,5.10E-02,237.1
71.5,5.33E-02,235.7
71.3,5.54E-02,235.4
71.1,5.78E-02,233.4
70.9,5.94E-02,234.4
70.8,6.12E-02,234.7
70.6,6.34E-02,233.0
70.5,6.64E-02,229.0
