"Altitude", "Pressure", "TempKelvin"
137.1,6.88E-10,151.2
135.2,1.27E-09,144.0
133.3,2.32E-09,138.9
131.4,3.79E-09,147.2
129.5,7.41E-09,135.2
127.6,1.34E-08,135.9
125.7,2.73E-08,126.1
123.8,5.35E-08,124.1
121.9,1.13E-07,117.1
120.0,2.31E-07,117.5
118.1,4.47E-07,122.0
116.2,8.27E-07,128.6
114.3,1.50E-06,134.2
112.4,2.63E-06,140.9
110.5,4.42E-06,149.3
108.6,8.09E-06,145.4
106.7,1.30E-05,157.3
104.8,2.13E-05,162.9
102.9,3.51E-05,165.6
101.0,5.69E-05,169.1
99.1,1.01E-04,160.2
97.2,1.76E-04,156.9
95.3,2.78E-04,167.2
93.4,4.67E-04,165.5
91.6,8.41E-04,156.3
89.7,1.34E-03,165.3
87.9,2.15E-03,169.3
86.0,3.24E-03,180.0
84.3,4.59E-03,194.4
82.5,6.64E-03,199.3
80.9,9.37E-03,204.2
79.3,1.29E-02,208.4
77.9,1.73E-02,211.5
76.6,2.31E-02,208.7
75.5,2.98E-02,208.5
74.4,3.65E-02,211.5
73.6,4.35E-02,214.4
72.8,4.96E-02,220.3
72.1,5.45E-02,229.3
71.5,6.01E-02,232.9
