"Altitude", "Pressure", "TempKelvin"
119.26,4.61E-07,146.7
118.56,6.60E-07,130.3
115.86,1.32E-06,151.0
113.15,2.80E-06,154.9
110.44,5.97E-06,158.0
107.74,1.01E-05,184.8
105.03,2.00E-05,180.9
102.33,3.85E-05,182.1
99.6,7.86E-05,175.8
97.6,1.28E-04,171.8
96.9,1.85E-04,148.2
94.2,3.73E-04,160.3
91.5,7.52E-04,166.9
88.8,1.34E-03,183.7
86.2,2.77E-03,178.6
85.6,2.96E-03,192.1
84.3,3.95E-03,194.3
83.6,4.66E-03,195.0
83.0,5.10E-03,201.8
82.3,5.96E-03,202.6
81.8,6.52E-03,208.5
80.6,8.44E-03,209.6
79.9,9.89E-03,207.3
79.4,1.09E-02,210.2
78.2,1.38E-02,212.5
77.6,1.56E-02,214.7
77.1,1.71E-02,215.7
76.1,2.07E-02,221.4
75.5,2.28E-02,225.1
75.1,2.44E-02,228.3
74.2,2.85E-02,234.0
73.7,3.13E-02,234.4
73.3,3.33E-02,236.2
72.5,3.87E-02,236.5
72.1,4.22E-02,235.6
71.8,4.45E-02,236.7
71.1,5.10E-02,234.9
70.8,5.45E-02,235.1
70.5,5.68E-02,237.1
69.7,6.69E-02,236.4
68.8,7.70E-02,243.7
68.0,9.04E-02,239.2
67.4,1.04E-01,235.0
67.3,1.07E-01,234.3
66.8,1.19E-01,227.2
66.4,1.35E-01,219.4
66.0,1.46E-01,220.7
