Altitude,Pressure,TempKelvin
86,3.027000000e-6,186.946
85,3.634000000e-6,186.946
84,4.360000000e-6,188.65
83,5.220000000e-6,190.65
82,6.239000000e-6,192.65
81,7.443000000e-6,194.65
80,8.863000000e-6,196.65
79,0.000010535,198.65
78,0.000012501,200.65
77,0.000014809,202.65
76,0.000017514,204.65
75,0.000020679,206.65
74,0.000024377,208.65
73,0.000028692,210.65
72,0.000033718,212.65
71,0.000039564,214.65
70,0.000046342,217.45
69,0.000054172,220.25
68,0.000063199,223.05
67,0.00007359,225.85
66,0.000085527,228.65
65,0.00009922,231.45
64,0.0001149,234.25
63,0.000132826,237.05
62,0.000153287,239.85
61,0.000176606,242.65
60,0.000203143,245.45
59,0.000233296,248.25
58,0.000267509,251.05
57,0.000306274,253.85
56,0.000350137,256.65
55,0.0003997,259.45
54,0.000455632,262.25
53,0.000518668,265.05
52,0.000589622,267.85
51,0.000669389,270.65
50,0.000759448,270.65
49,0.000861623,270.65
48,0.000977545,270.65
47,0.001109063,270.65
46,0.001259103,267.85
45,0.001431348,265.05
44,0.001629374,262.25
43,0.001857378,259.45
42,0.002120299,256.65
41,0.002423955,253.85
40,0.002775216,251.05
39,0.003182205,248.25
38,0.003654547,245.45
37,0.004203671,242.65
36,0.004843167,239.85
35,0.005589235,237.05
34,0.006461222,234.25
33,0.007482282,231.45
32,0.008680187,228.65
31,0.01008232,227.65
30,0.011718665,226.65
29,0.013629648,225.65
28,0.015862898,224.65
27,0.018474574,223.65
26,0.021530938,222.65
25,0.025110234,221.65
24,0.029304922,220.65
23,0.034224343,219.65
22,0.039997902,218.65
21,0.046778862,217.65
20,0.054748887,216.65
19,0.064100069,216.65
18,0.075048447,216.65
17,0.087866821,216.65
16,0.102874591,216.65
15,0.120445709,216.65
14,0.141017996,216.65
13,0.165104058,216.65
12,0.19330405,216.65
11,0.22632064,216.65
10,0.264362676,223.15
9,0.307424584,229.65
8,0.355998114,236.15
7,0.410607432,242.65
6,0.471810276,249.15
5,0.540199121,255.65
4,0.616402353,262.15
3,0.701085447,268.65
2,0.794952155,275.15
1,0.898745705,281.65
0,1.01325,288.15
