Altitude,Pressure,TempKelvin
120.19,4.082400000e-9,135.62
119.63,4.397300000e-9,137.61
119.08,4.729900000e-9,140.54
118.52,5.080400000e-9,142.53
117.97,5.452900000e-9,143.18
117.42,5.850500000e-9,144.33
116.86,6.272400000e-9,145.92
116.31,6.718700000e-9,147.88
115.76,7.188100000e-9,151.07
115.21,7.680500000e-9,152.68
114.66,8.203900000e-9,152.55
114.11,8.764000000e-9,152.26
113.56,9.362500000e-9,152.25
113.01,1.000200000e-8,151.52
112.46,1.069100000e-8,149.69
111.92,1.143600000e-8,148.33
111.37,1.223700000e-8,147.94
110.82,1.309500000e-8,147.72
110.28,1.401200000e-8,147.81
109.73,1.499300000e-8,147.62
109.19,1.604500000e-8,147.01
108.65,1.717400000e-8,146.58
108.1,1.838500000e-8,146.39
107.56,1.968000000e-8,146.62
107.02,2.106400000e-8,146.63
106.48,2.254000000e-8,147.05
105.94,2.411300000e-8,147.81
105.4,2.578500000e-8,148.47
104.86,2.756300000e-8,149.13
104.32,2.945600000e-8,149.46
103.79,3.147600000e-8,149.17
103.25,3.363600000e-8,149.21
102.71,3.593700000e-8,149.77
102.18,3.838200000e-8,150.6
101.64,4.097300000e-8,151.71
101.11,4.371600000e-8,152.81
100.57,4.661800000e-8,153.84
100.04,4.969100000e-8,154.78
99.507,5.293800000e-8,156.25
98.975,5.636800000e-8,156.64
98.444,6.002900000e-8,155.3
97.913,6.397200000e-8,153.18
97.383,6.823400000e-8,150.91
96.853,7.284800000e-8,148.57
96.325,7.784000000e-8,146.96
95.796,8.323600000e-8,144.69
95.269,8.911700000e-8,141.44
94.742,9.555200000e-8,138.85
94.215,1.025700000e-7,136.34
93.69,1.102300000e-7,134.25
93.165,1.185600000e-7,133.48
92.64,1.275300000e-7,133.52
92.117,1.371500000e-7,133.52
91.593,1.474700000e-7,134.51
91.071,1.584200000e-7,136.74
90.549,1.699500000e-7,139.14
90.027,1.820800000e-7,141.87
89.506,1.948200000e-7,143.99
88.986,2.082700000e-7,145.48
88.466,2.225100000e-7,146.41
87.948,2.376500000e-7,146.73
87.429,2.537700000e-7,147.02
86.912,2.708900000e-7,148.16
86.395,2.890100000e-7,148.9
85.878,3.082600000e-7,149.24
85.363,3.287800000e-7,148.48
84.848,3.508500000e-7,146.78
84.333,3.746800000e-7,144.88
83.82,4.004100000e-7,143.64
83.307,4.282100000e-7,141.05
82.794,4.586900000e-7,136.65
82.282,4.923000000e-7,133.8
81.771,5.290000000e-7,131.52
81.261,5.688400000e-7,131.43
80.751,6.111900000e-7,134.21
80.242,6.556600000e-7,136.15
