Altitude,Pressure,TempKelvin
376.7,0.0002,138.7
363.9,0.00025,143.2
350.7,0.00032,147.3
337.4,0.0004,146.2
324.3,0.0005,143.8
311.4,0.00063,142.2
298.6,0.00079,141.2
285.8,0.001,141.6
273,0.00126,142.5
260.2,0.00158,140.3
247.7,0.002,137.7
235.3,0.00251,136.9
223.1,0.00316,133.4
211.3,0.00398,129
199.9,0.00501,123.5
189,0.00631,117.7
178.7,0.00794,112
168.9,0.01,104.8
159.8,0.01259,99.5
151,0.01585,95
142.8,0.01995,90.5
136.4,0.02399,87.6
130.2,0.02884,85.3
124.1,0.03467,83.9
118.1,0.04169,83.1
112.2,0.05012,82.3
106.3,0.06026,82
100.4,0.07244,82.4
94.4,0.0871,82.7
90,0.1,83.4
85.5,0.11482,84.3
80.9,0.13183,85.2
76.3,0.15136,86.3
71.6,0.17378,87.9
66.9,0.19953,89.8
62,0.22909,91.4
58.7,0.25119,92.4
55.4,0.27542,93.5
52,0.302,94.8
48.6,0.33113,96.5
45.1,0.36308,98.4
41.6,0.39811,100.7
37.9,0.43652,103.2
34.2,0.47863,106
32.3,0.50119,107.5
30.3,0.52481,109.1
28.4,0.54954,110.7
26.4,0.57544,112.4
24.4,0.60256,114.1
22.3,0.63096,115.8
20.2,0.66069,117.6
18.1,0.69183,119.4
16,0.72444,121.3
13.8,0.75858,123.2
11.6,0.79433,125
9.3,0.83176,127
7,0.87096,128.9
4.7,0.91201,130.8
2.4,0.95499,132.8
0,1,134.8
-2.4,1.04713,136.8
-4.9,1.09648,138.9
-7.4,1.14815,140.9
-9.9,1.20226,142.9
-12.5,1.25893,145
-14.1,1.29848,146.2
