Altitude,Pressure,TempKelvin
1028.6,9.665000000e-10,900.3
1028.1,9.697000000e-10,900.6
1023.8,9.953000000e-10,902.7
1018.3,1.028000000e-9,903.5
1012.9,1.062000000e-9,902.8
1007.5,1.097000000e-9,901
1002.1,1.133000000e-9,898.1
996.77,1.171000000e-9,895.1
991.4,1.210000000e-9,891.4
986.04,1.250000000e-9,888
980.69,1.292000000e-9,884.4
975.34,1.335000000e-9,880.9
970.01,1.380000000e-9,877.5
964.69,1.426000000e-9,874.6
959.37,1.474000000e-9,871.9
954.07,1.524000000e-9,869.9
948.77,1.575000000e-9,868
943.48,1.628000000e-9,866.8
938.2,1.683000000e-9,865.7
932.93,1.740000000e-9,865.2
927.67,1.799000000e-9,865
922.42,1.859000000e-9,865.1
917.18,1.922000000e-9,865.7
911.95,1.986000000e-9,866.4
906.72,2.052000000e-9,867.4
901.51,2.121000000e-9,868.7
896.3,2.191000000e-9,870.2
891.11,2.264000000e-9,871.6
885.92,2.339000000e-9,873.3
880.74,2.416000000e-9,874.9
875.57,2.495000000e-9,876.7
870.41,2.577000000e-9,878.4
865.26,2.661000000e-9,879.9
860.12,2.747000000e-9,881.4
854.99,2.836000000e-9,882.7
849.87,2.927000000e-9,883.8
844.75,3.022000000e-9,884.7
839.65,3.119000000e-9,885.3
834.55,3.219000000e-9,885.5
829.47,3.322000000e-9,885.5
824.39,3.428000000e-9,885
819.32,3.537000000e-9,884.3
814.26,3.650000000e-9,883.1
809.21,3.767000000e-9,881.4
804.17,3.887000000e-9,879.2
799.14,4.011000000e-9,876.7
794.12,4.140000000e-9,873.8
789.1,4.273000000e-9,870.1
784.1,4.410000000e-9,866
779.1,4.553000000e-9,861.4
774.12,4.701000000e-9,856.4
769.14,4.854000000e-9,851
764.17,5.013000000e-9,845.2
759.22,5.178000000e-9,839
754.27,5.350000000e-9,832.5
749.33,5.529000000e-9,825.7
744.4,5.715000000e-9,818.6
739.48,5.908000000e-9,811.2
