Altitude,Pressure,TempKelvin
110.286,8.202250000e-9,104.87
109.743,9.024970000e-9,105.89
109.2,9.917010000e-9,107.64
108.658,1.087840000e-8,109.54
108.116,1.191240000e-8,111.67
107.575,1.302190000e-8,113.55
107.035,1.421570000e-8,114.91
106.495,1.550120000e-8,116.57
105.956,1.687740000e-8,118.84
105.417,1.834440000e-8,121.01
104.88,1.990980000e-8,122.91
104.342,2.158080000e-8,124.82
103.806,2.336190000e-8,126.68
103.27,2.525770000e-8,128.8
102.735,2.726810000e-8,131.27
102.2,2.939320000e-8,133.84
101.666,3.163650000e-8,136.44
101.132,3.400160000e-8,139.04
100.6,3.649140000e-8,141.79
100.068,3.910970000e-8,144.24
99.536,4.186590000e-8,146.67
99.005,4.477130000e-8,148.05
98.475,4.786380000e-8,147.66
97.945,5.118260000e-8,147.12
97.416,5.473880000e-8,146.82
96.888,5.854140000e-8,146.89
96.36,6.259410000e-8,147.6
95.833,6.690000000e-8,148.26
95.307,7.146970000e-8,149.58
94.781,7.630090000e-8,150.78
94.256,8.141700000e-8,151.71
93.732,8.684100000e-8,152.41
93.208,9.259830000e-8,152.88
92.684,9.871580000e-8,153.18
92.162,1.052100000e-7,153.99
91.64,1.120880000e-7,154.58
91.118,1.193970000e-7,154.39
90.598,1.271860000e-7,154.45
90.077,1.354460000e-7,155.57
89.558,1.441750000e-7,155.96
89.039,1.534710000e-7,155.18
88.521,1.633990000e-7,155.17
88.004,1.739000000e-7,157
87.487,1.849690000e-7,156.81
86.971,1.968690000e-7,153.49
86.455,2.098200000e-7,150.81
85.94,2.237770000e-7,149.98
85.426,2.387460000e-7,148.19
84.912,2.549760000e-7,145.19
84.39,2.726690000e-7,142.5
83.887,2.918830000e-7,140.69
83.376,3.127170000e-7,138.43
82.865,3.354290000e-7,135.87
82.354,3.602380000e-7,133.49
81.845,3.873150000e-7,131.45
81.336,4.168480000e-7,129.54
80.828,4.490830000e-7,127.65
80.32,4.842400000e-7,126.41
79.813,5.224130000e-7,125.62
79.307,5.637310000e-7,125.4
78.801,6.082340000e-7,125.82
78.297,6.559920000e-7,126.31
77.792,7.071540000e-7,127.34
77.289,7.618840000e-7,127.59
76.786,8.208320000e-7,127.27
76.284,8.845460000e-7,126.57
75.783,9.536910000e-7,125.2
75.282,1.028880000e-6,124.59
74.283,1.196900000e-6,125.52
73.784,1.290200000e-6,125.86
73.286,1.390260000e-6,126.67
72.789,1.497020000e-6,127.93
72.293,1.610480000e-6,129.58
71.797,1.730490000e-6,131.94
71.303,1.856990000e-6,133.88
70.809,1.990940000e-6,135.02
70.315,2.133150000e-6,136.4
69.823,2.283300000e-6,138.62
69.331,2.441250000e-6,140.33
68.84,2.608350000e-6,141.14
68.35,2.785720000e-6,142
67.86,2.973390000e-6,143.39
67.372,3.171640000e-6,144.19
66.884,3.382170000e-6,144.3
66.397,3.606430000e-6,144.21
65.911,3.845430000e-6,144.04
65.426,4.100260000e-6,143.82
64.458,4.660790000e-6,143.49
63.975,4.970490000e-6,142.18
63.493,5.303410000e-6,141.1
63.013,5.660370000e-6,140.33
62.533,6.042460000e-6,139.84
62.054,6.450410000e-6,139.88
61.576,6.885120000e-6,139.61
61.099,7.349750000e-6,139.08
60.623,7.847080000e-6,138.39
60.148,8.380220000e-6,137.44
59.675,8.952110000e-6,136.8
