Altitude,Pressure,TempKelvin
184.873589331,0.00035,130.6
179.743402159,0.0004,130.1
175.225199444,0.00045,130.2
171.188187481,0.0005,129.8
166.870917592,0.00056,128.7
162.41867404,0.00063,127.8
157.928009643,0.00071,127.1
153.942489594,0.00079,126.2
149.530211744,0.00089,125
145.255708348,0.001,123.9
141.133842938,0.00112,122.9
136.891627249,0.00126,121.5
132.895185082,0.00141,119.6
128.924335693,0.00158,117.1
124.854571451,0.00178,114.6
120.957886756,0.002,112.3
117.246871787,0.00224,109.9
113.610765046,0.00251,106.9
110.005063674,0.00282,103.2
106.589495716,0.00316,100.4
103.19374474,0.00355,97.6
99.958655636,0.00398,94.4
96.788058319,0.00447,90.9
93.791339892,0.00501,87.4
90.887471797,0.00562,84.1
88.071577468,0.00631,80.9
85.380466929,0.00708,77.7
82.802382618,0.00794,74.9
80.302043781,0.00891,72.3
77.886895553,0.01,69.7
75.557715926,0.01122,67.6
73.291187351,0.01259,65.9
71.076993626,0.01413,64.3
68.92540946,0.01585,62.8
66.820575534,0.01778,61.5
64.751887611,0.01995,60.4
62.718171093,0.02239,59.2
60.725971007,0.02512,58.3
58.764330583,0.02818,57.5
56.825937311,0.03162,56.7
54.912971323,0.03548,56
53.024266633,0.03981,55.3
51.157054606,0.04467,54.7
49.311270458,0.05012,54.1
47.48553972,0.05623,53.6
45.671287534,0.0631,53.2
43.876590317,0.07079,52.7
42.091253758,0.07943,52.5
40.315152256,0.08913,52.1
38.553166707,0.1,51.8
36.795679385,0.1122,51.8
35.039694622,0.12589,51.7
33.285446943,0.14125,51.7
31.528934234,0.15849,51.8
29.765994303,0.17783,52.1
27.994570152,0.19953,52.3
26.2152131,0.22387,52.6
24.421613607,0.25119,53.1
22.611268459,0.28184,53.6
20.780557667,0.31623,54.3
18.924680924,0.35481,55.1
17.039420323,0.39811,56
15.119055371,0.44668,57.2
13.150699422,0.50119,58.8
11.125027498,0.56234,60.6
9.038018265,0.63096,62.4
6.888319064,0.70795,64.3
4.670858005,0.79433,66.4
2.378737276,0.89125,68.7
0,1,71.5
-2.477151374,1.12202,74.5
-5.062910179,1.25893,77.9
-5.776767321,1.29848,78.7
-10.608768238,1.58489,85.8
-13.596645131,1.77828,90.3
-16.730333179,1.99526,94.4
-20.001509709,2.23872,98.4
-20.900137745,2.30881,99.4
-26.945656974,2.81838,106.3
-30.622373267,3.16228,110.4
-34.438097849,3.54813,114.5
-38.394728965,3.98107,118.7
-42.493904198,4.46684,122.9
-46.737196827,5.01187,127.2
-51.121358693,5.62341,131.2
-55.378047343,6.26792,135
