 t, sec        V, m/s       z, km      rho, kg m-3        p, mb         T, K 
11464.430     4708.039     110.286     .409393E-07     .820225E-05     104.87
11464.930     4708.443     109.743     .446129E-07     .902497E-05     105.89
11465.430     4708.847     109.200     .482255E-07     .991701E-05     107.64
11465.930     4709.249     108.658     .519835E-07     .108784E-04     109.54
11466.430     4709.651     108.116     .558395E-07     .119124E-04     111.67
11466.930     4710.053     107.575     .600282E-07     .130219E-04     113.55
11467.430     4710.453     107.035     .647568E-07     .142157E-04     114.91
11467.930     4710.853     106.495     .696050E-07     .155012E-04     116.57
11468.430     4711.252     105.956     .743395E-07     .168774E-04     118.84
11468.930     4711.650     105.417     .793471E-07     .183444E-04     121.01
11469.430     4712.047     104.880     .847875E-07     .199098E-04     122.91
11469.930     4712.443     104.342     .904987E-07     .215808E-04     124.82
11470.430     4712.839     103.806     .965270E-07     .233619E-04     126.68
11470.930     4713.233     103.270     .102650E-06     .252577E-04     128.80
11471.430     4713.627     102.735     .108734E-06     .272681E-04     131.27
11471.930     4714.019     102.200     .114959E-06     .293932E-04     133.84
11472.430     4714.411     101.666     .121370E-06     .316365E-04     136.44
11472.930     4714.802     101.132     .128004E-06     .340016E-04     139.04
11473.430     4715.192     100.600     .134709E-06     .364914E-04     141.79
11473.930     4715.581     100.068     .141930E-06     .391097E-04     144.24
11474.430     4715.968     99.536      .149410E-06     .418659E-04     146.67
11474.930     4716.355     99.005      .158286E-06     .447713E-04     148.05
11475.430     4716.741     98.475      .169668E-06     .478638E-04     147.66
11475.930     4717.125     97.945      .182109E-06     .511826E-04     147.12
11476.430     4717.508     97.416      .195147E-06     .547388E-04     146.82
11476.930     4717.889     96.888      .208606E-06     .585414E-04     146.89
11477.430     4718.269     96.360      .221973E-06     .625941E-04     147.60
11477.930     4718.648     95.833      .236187E-06     .669000E-04     148.26
11478.430     4719.026     95.307      .250092E-06     .714697E-04     149.58
11478.930     4719.401     94.781      .264890E-06     .763009E-04     150.78
11479.430     4719.776     94.256      .280903E-06     .814170E-04     151.71
11479.930     4720.148     93.732      .298256E-06     .868410E-04     152.41
11480.430     4720.519     93.208      .317044E-06     .925983E-04     152.88
11480.930     4720.889     92.684      .337334E-06     .987158E-04     153.18
11481.430     4721.256     92.162      .357630E-06     .105210E-03     153.99
11481.930     4721.621     91.640      .379556E-06     .112088E-03     154.58
11482.430     4721.984     91.118      .404801E-06     .119397E-03     154.39
11482.930     4722.345     90.598      .431034E-06     .127186E-03     154.45
11483.430     4722.704     90.077      .455726E-06     .135446E-03     155.57
11483.930     4723.060     89.558      .483876E-06     .144175E-03     155.96
11484.430     4723.414     89.039      .517665E-06     .153471E-03     155.18
11484.930     4723.765     88.521      .551184E-06     .163399E-03     155.17
11485.430     4724.113     88.004      .579770E-06     .173900E-03     157.00
11485.930     4724.458     87.487      .617443E-06     .184969E-03     156.81
11486.430     4724.799     86.971      .671387E-06     .196869E-03     153.49
11486.930     4725.136     86.455      .728266E-06     .209820E-03     150.81
11487.430     4725.469     85.940      .781016E-06     .223777E-03     149.98
11487.930     4725.797     85.426      .843312E-06     .238746E-03     148.19
11488.430     4726.120     84.912      .919209E-06     .254976E-03     145.19
11488.930     4726.436     84.390      .100158E-05     .272669E-03     142.50
11489.430     4726.746     83.887      .108596E-05     .291883E-03     140.69
11489.930     4727.049     83.376      .118248E-05     .312717E-03     138.43
11490.430     4727.344     82.865      .129223E-05     .335429E-03     135.87
11490.930     4727.629     82.354      .141251E-05     .360238E-03     133.49
11491.430     4727.904     81.845      .154235E-05     .387315E-03     131.45
11491.930     4728.169     81.336      .168431E-05     .416848E-03     129.54
11492.430     4728.422     80.828      .184146E-05     .449083E-03     127.65
11492.930     4728.662     80.320      .200508E-05     .484240E-03     126.41
11493.430     4728.889     79.813      .217679E-05     .522413E-03     125.62
11493.930     4729.102     79.307      .235313E-05     .563731E-03     125.40
11494.430     4729.301     78.801      .253038E-05     .608234E-03     125.82
11494.930     4729.486     78.297      .271847E-05     .655992E-03     126.31
11495.430     4729.657     77.792      .290687E-05     .707154E-03     127.34
11495.930     4729.812     77.289      .312555E-05     .761884E-03     127.59
11496.430     4729.948     76.786      .337598E-05     .820832E-03     127.27
11496.930     4730.064     76.284      .365814E-05     .884546E-03     126.57
11497.430     4730.157     75.783      .398735E-05     .953691E-03     125.20
11497.930     4730.224     75.282      .432256E-05     .102888E-02     124.59
11498.430     4730.266     74.782      ,464815E-05     .110995E-02     124.99
11498.930     4730.282     74.283      .499133E-05     .119690E-02     125.52
11499.430     4730.271     73.784      .536599E-05     .129020E-02     125.86
11499.930     4730.232     73.286      .574515E-05     .139026E-02     126.67
11500.430     4730.163     72.789      .612506E-05     .149702E-02     127.93
11500.930     4730.066     72.293      .650529E-05     .161048E-02     129.58
11501.430     4729.941     71.797      .686540E-05     .173049E-02     131.94
11501.930     4729.787     71.303      .726026E-05     .185699E-02     133.88
11502.430     4729.602     70.809      .771849E-05     .199094E-02     135.02
11502.930     4729.381     70.315      .818596E-05     .213315E-02     136.40
11503.430     4729.126     69.823      .862182E-05     .228330E-02     138.62
11503.930     4728.837     69.331      .910587E-05     .244125E-02     140.33
11504.430     4728.508     68.840      .967341E-05     .260835E-02     141.14
11504.930     4728.135     68.350      .102684E-04     .278572E-02     142.00
11505.430     4727.716     67.860      .108539E-04     .297339E-02     143.39
11505.930     4727.252     67.372      .115141E-04     .317164E-02     144.19
11506.430     4726.734     66.884      .122687E-04     .338217E-02     144.30
11506.930     4726.156     66.397      .130900E-04     .360643E-02     144.21
11507.430     4725.514     65.911      .139747E-04     .384543E-02     144.04
11507.930     4724.803     65.426      .149234E-04     .410026E-02     143.82
11508.430     4724.019     64.941      .158953W-04     .437173E-02     143.96
11508.930     4723.158     64.458      .170027E-04     .466079E-02     143.49
11509.430     4722.208     63.975      .182993E-04     .497049E-02     142.18
11509.930     4721.156     63.493      .196735E-04     .530341E-02     141.10
11510.430     4719.999     63.013      .211131E-04     .566037E-02     140.33
11510.930     4718.732     62.533      .226183E-04     .604246E-02     139.84
11511.430     4717.352     62.054      .241381E-04     .645041E-02     139.88
11511.930     4715.855     61.576      .258135E-04     .688512E-02     139.61
11512.430     4714.226     61.099      .276607E-04     .734975E-02     139.08
11512.930     4712.454     60.623      .296808E-04     .784708E-02     138.39
11513.430     4710.524     60.148      .319159E-04     .838022E-02     137.44
11513.930     4708.425     59.675      .342545E-04     .895211E-02     136.80
11514.430     4706.148     59.202      .365934E-04     .956332E-02     136.80
11514.930     4703.688     58.731      .388802E-04     .102131E-01     137.50
11515.430     4701.045     58.260      .411783E-04     .109006E-01     138.56
11515.930     4698.219     57.791      .434776E-04     .116261E-01     139.97
11516.430     4695.211     57.324      .457111E-04     .123887E-01     141.86
11516.930     4692.024     56.857      .480880E-04     .131883E-01     143.55
11517.430     4688.648     56.392      .504121E-04     .140265E-01     145.64
11517.930     4685.076     55.928      .532048E-04     .149047E-01     146.63
11518.430     4681.261     55.465      .565779E-04     .158328E-01     146.48
11518.930     4677.162     55.004      .600149E-04     .168171E-01     146.68
11519.430     4672.769     54.545      .637665E-04     .178580E-01     146.59
11519.930     4668.068     54.087      .672577E-04     .189580E-01     147.54
11520.430     4663.085     53.630      .704555E-04     .201102E-01     149.41
11520.930     4657.839     53.174      .737488E-04     .213119E-01     151.26
11521.430     4652.325     52.720      .770809E-04     .225650E-01     153.23
11521.930     4646.540     52.268      .804499E-04     .238693E-01     155.30
11522.430     4640.482     51.817      .838444E-04     .252247E-01     157.48
11522.930     4634.151     51.368      .873005E-04     .266313E-01     159.68
11523.430     4627.543     50.922      .907669E-04     .280894E-01     161.99
11523.930     4620.657     50.477      .943855E-04     .295992E-01     164.15
11524.430     4613.484     50.033      .979656E-04     .311619E-01     166.50
11524.930     4606.017     49.592      .102011E-03     .327786E-01     168.19
11525.430     4598.210     49.153      .106564E-03     .344578E-01     169.26
11525.930     4590.026     48.716      .111404E-03     .362054E-01     170.11
11526.430     4581.464     48.282      .116625E-03     .380249E-01     170.66
11526.930     4572.514     47.849      .122406E-03     .399228E-01     170.72
11527.430     4563.125     47.419      .128938E-03     .419084E-01     170.13
11527.930     4553.252     46.991      .135923E-03     .439907E-01     169.41
11528.430     4542.865     46.566      .143572E-03     .461757E-01     168.35
11528.930     4531.937     46.143      .151254E-03     .484691E-01     167.74
11529.430     4520.493     45.722      .158528E-03     .508651E-01     167.95
11529.930     4508.549     45.305      .166410E-03     .533609E-01     167.85
11530.430     4496.039     44.890      .175426E-03     .559696E-01     167.00
11530.930     4482.914     44.478      .184524E-03     .587009E-01     166.52
11531.430     4469.209     44.069      .193171E-03     .615476E-01     166.78
11531.930     4454.941     43.663      .202511E-03     .645061E-01     166.73
11532.430     4440.042     43.260      .213087E-03     .675904E-01     166.03
11532.930     4424.460     42.861      .223870E-03     .708105E-01     165.56
11533.430     4408.220     42.464      .234511E-03     .741615E-01     165.53
11533.930     4391.333     42.072      .245730E-03     .776414E-01     165.39
11534.430     4373.756     41.682      .257907E-03     .812592E-01     164.92
11534.930     4355.456     41.297      .270310E-03     .850209E-01     164.64
11535.430     4336.457     40.915      .282668E-03     .889221E-01     164.66
11535.930     4316.769     40.537      .295531E-03     .929606E-01     164.65
11536.430     4296.374     40.163      .308883E-03     .971399E-01     164.62
11536.930     4275.257     39.793      .323039E-03     .101463E+00     164.41
11537.430     4253.370     39.427      .338574E-03     .105940E+00     163.78
11537.930     4230.679     39.066      .354177E-03     .110577E+00     163.42
11538.430     4207.235     38.709      .369494E-03     .115364E+00     163.43
11538.930     4183.074     38.356      .385081E-03     .120294E+00     163.52
11539.430     4158.199     38.008      .401056E-03     .125366E+00     163.62
11539.930     4132.621     37.665      .417341E-03     .130577E+00     163.77
11540.430     4106.357     37.325      .433841E-03     .135925E+00     164.00
11540.930     4079.422     36.991      .450851E-03     .141406E+00     164.17
11541.430     4051.811     36.661      .468615E-03     .147021E+00     164.22
11541.930     4023.525     36.336      .486678E-03     .152770E+00     164.31
11542.430     3994.589     36.016      .505068E-03     .158647E+00     164.42
11542.930     3965.026     35.702      .523614E-03     .164648E+00     164.59
11543.430     3934.872     35.392      .542065E-03     .170765E+00     164.90
11543.930     3904.161     35.088      .561062E-03     .176991E+00     165.12
11544.430     3872.888     34.789      .581021E-03     .183328E+00     165.16
11544.930     3841.055     34.496      .601137E-03     .189773E+00     165.24
11545.430     3808.705     34.208      .621353E-03     .196318E+00     165.38
11545.930     3775.878     33.925      .641540E-03     .202954E+00     165.59
11546.430     3742.620     33.648      .661470E-03     .209673E+00     165.92
11546.930     3708.977     33.377      .681652E-03     .216464E+00     166.22
11547.430     3674.971     33.111      .702160E-03     .223322E+00     166.48
11547.930     3640.624     32.850      .722974E-03     .230242E+00     166.70
11548.430     3605.955     32.595      .744543E-03     .237221E+00     166.77
11548.930     3570.986     32.346      .765655E-03     .244252E+00     166.98
11549.430     3535.799     32.102      .785481E-03     .251318E+00     167.48
11549.930     3500.467     31.863      .805602E-03     .258405E+00     167.90
11550.430     3464.986     31.630      .826527E-03     .265513E+00     168.15
11550.930     3429.368     31.403      .847452E-03     .272638E+00     168.40
11551.430     3393.660     31.181      .867939E-03     .279770E+00     168.72
11551.930     3357.899     30.964      .888764E-03     .286900E+00     168.97
11552.430     3322.092     30.753      .910115E-03     .294027E+00     169.11
11552.930     3286.252     30.547      .931618E-03     .301147E+00     169.20
11553.430     3250.404     30.346      .953293E-03     .308253E+00     169.26
11553.930     3214.573     30.151      .974894E-03     .315339E+00     169.31
11554.430     3178.788     29.961      .996608E-03     .322400E+00     169.33
11554.930     3143.079     29.775      .101769E-02     .329427E+00     169.44
11555.430     3107.503     29.595      .103758E-02     .336410E+00     169.71
11555.930     3072.113     29.420      .105714E-02     .343336E+00     170.00
11556.430     3036.925     29.250      .107670E-02     .350202E+00     170.25
11556.930     3001.965     29.084      .109548E-02     .357002E+00     170.58
11557.430     2967.285     28.923      .111274E-02     .363725E+00     171.10
11557.930     2932.927     28.767      .112981E-02     .370363E+00     171.59
11558.430     2898.899     28.615      .114667E-02     .376912E+00     172.06
11558.930     2865.209     28.468      .116377E-02     .383372E+00     172.43
11559.430     2831.848     28.325      .118153E-02     .389743E+00     172.66
11559.930     2798.814     28.186      .119904E-02     .396026E+00     172.88
11560.430     2766.126     28.050      .121594E-02     .402215E+00     173.15
11560.930     2733.801     27.917      .123272E-02     .408308E+00     173.38
11561.430     2701.838     27.788      .124982E-02     .414305E+00     173.52
11561.930     2670.241     27.663      .126608E-02     .420204E+00     173.73
11562.430     2639.045     27.542      .128066E-02     .425998E+00     174.12
