HEIGHT,        PRESSURE,      TEMP,     Number density x 10 -17  Methane Mixing Ratio 
(KM)           (mbar)         (K)
                                                  
232.5          0.25           96.1      0.19                     0.00
227.7          0.28           100.1     0.20                     0.00
222.7          0.32           105.3     0.22                     0.00
217.5          0.35           110.4     0.23                     0.00
212.1          0.40           113.4     0.25                     0.00
206.6          0.45           113.3     0.29                     0.00
201.4          0.50           107.3     0.34                     0.00
196.4          0.56           98.0      0.42                     0.00
191.9          0.63           90.8      0.50                     0.00
187.7          0.71           85.6      0.60                     0.00
183.6          0.79           80.8      0.71                     0.00
179.8          0.89           75.8      0.85                     0.00
176.3          1.00           73.0      0.99                     0.00
172.8          1.12           71.0      1.14                     0.00
169.4          1.26           70.2      1.30                     0.00
166.0          1.41           69.4      1.48                     0.00
162.6          1.58           68.6      1.67                     0.00
159.4          1.78           67.8      1.90                     0.00
156.1          2.00           67.0      2.16                     0.00
152.9          2.24           66.8      2.43                     0.00
149.7          2.51           66.8      2.72                     0.00
146.4          2.82           67.1      3.04                     0.00
143.1          3.16           68.2      3.36                     0.00
139.9          3.55           68.8      3.73                     0.00
136.5          3.98           68.7      4.20                     0.00
133.2          4.47           68.1      4.75                     0.00
130.0          5.01           67.9      5.35                     0.00
126.7          5.62           67.0      6.08                     0.00
123.6          6.31           64.6      7.07                     0.00
120.5          7.08           63.3      8.10                     0.00
117.4          7.94           63.6      9.04                     0.00
114.4          8.91           63.4      10.18                    0.00
111.3          10.00          63.4      11.42                    0.00
108.2          11.22          64.6      12.58                    0.00
105.1          12.59          66.1      13.79                    0.00
101.9          14.13          66.6      15.36                    0.00
98.8           15.85          59.6      19.25                    0.00
96.0           17.78          58.7      21.93                    0.00
93.2           19.95          58.2      24.81                    0.00
90.4           22.39          57.3      28.29                    0.00
87.7           25.12          56.6      32.12                    0.00
85.0           28.18          56.0      36.46                    0.00
82.3           31.62          55.5      41.31                    0.00
79.7           35.48          55.1      46.64                    0.00
77.0           39.81          54.8      52.58                    0.00
74.4           44.67          54.6      59.27                    0.00
71.8           50.12          54.1      67.07                    0.00
69.2           56.23          53.7      75.81                    0.00
66.6           63.10          53.6      85.21                    0.00
64.1           70.79          53.6      95.66                    0.00
61.5           79.43          53.5      107.62                   0.00
59.0           89.13          53.4      120.96                   0.00
56.4           100.00         53.2      136.20                   0.00
54.4           109.65         53.0      149.87                   0.00
52.3           120.23         53.1      163.86                   0.00
50.3           131.83         53.2      179.54                   0.00
48.3           144.54         53.5      195.66                   0.00
46.2           158.49         53.5      214.68                   0.00
44.2           173.78         53.8      234.12                   0.00
42.1           190.55         54.2      254.70                   0.00
40.0           208.93         54.5      277.86                   0.00
37.9           229.09         54.8      302.69                   0.00
35.8           251.19         55.2      329.51                   0.00
33.7           275.42         55.5      359.18                   0.00
31.6           302.00         56.1      390.06                   0.00
29.4           331.13         56.6      423.91                   0.00
27.3           363.08         57.4      458.48                   0.00
25.1           398.11         58.3      494.42                   0.00
22.8           436.52         59.3      532.76                   0.00
20.5           478.63         60.6      572.01                   0.00
18.2           524.81         62.0      612.95                   0.00
17.0           549.54         62.7      634.33                   0.00
15.8           575.44         63.6      655.74                   0.00
14.6           602.56         64.4      677.58                   0.00
13.3           630.96         65.3      700.04                   0.00
12.1           660.69         66.2      723.05                   0.04
10.8           691.83         67.1      746.28                   0.05
9.5            724.44         68.1      769.96                   0.07
8.2            758.58         69.2      793.54                   0.08
6.9            794.33         70.3      818.61                   0.10
5.6            831.76         71.4      844.18                   0.13
4.2            870.96         72.6      869.50                   0.16
2.8            912.01         73.8      895.47                   0.20
1.4            954.99         75.1      921.44                   0.25
0.0            1000.00        76.4      948.27                   0.31
-1.4           1047.13        77.8      974.99                   0.39
-2.9           1096.48        79.3      1001.25                  0.50
-3.5           1116.86        79.9      1011.86                  0.56
-4.1           1137.63        80.6      1022.49                  0.61
-4.7           1158.78        81.1      1034.49                  0.66
-5.3           1180.32        81.6      1048.05                  0.71
-5.9           1202.26        82.0      1062.06                  1.08
-6.4           1224.62        82.4      1076.89                  1.60
-7.0           1247.38        82.7      1092.34                  2.07
-7.6           1270.57        83.0      1108.20                  2.24
-8.1           1294.20        83.4      1124.27                  2.26
-8.7           1318.26        83.9      1138.71                  2.26
-10.1          1380.38        85.2      1173.19                  2.26
-11.5          1445.44        86.6      1209.41                  2.26
-13.0          1513.56        87.9      1246.94                  2.26
-14.5          1584.89        89.2      1286.54                  2.26
-16.0          1659.59        90.6      1327.06                  2.26
-17.5          1737.80        91.9      1369.35                  2.26
-19.1          1819.70        93.2      1413.47                  2.26
-20.7          1905.46        94.6      1458.75                  2.26
-22.3          1995.26        96.0      1505.33                  2.26
-23.9          2089.30        97.5      1552.86                  2.26
-25.5          2187.76        99.0      1601.24                  2.26
-27.2          2290.87        100.6     1650.08                  2.26
-27.5          2308.81        100.9     1657.33                  2.26

Note:
This table gives the number density(n t), temperature(T), and methane mixing                     
ratio(n CH4 X 100/n t) as a function of the pressure level (p) for the nominal                  
atmospheric model discussed in the text.  Also provided is the local altitude(h)                  
of the measurements, relative to the 1-bar level.  Note that n t and n CH4                         
include CH4 molecules in the gas, liquid and solid states.  The percentage of 
CH4 that is assumed to be in the cloud(i.e., near the 1240-mbar level) and is                  
negligible outside the cloud layer.  The table was obtained from the ingress                    
data by assuming a helium to hydrogen abundance ration of 15/85.                       
