Lower Atmosphere State Properties:  Sounder Probe

ALTITUDE,      PRESSURE,      TEMPERATURE,   DENSITY,  
(KM)           (bars)         (K)            (kg/m3)   

64.83          .925E-01       246.3          .1964E+00 
64.00          .1078E+00      247.0          .2282E+00 
63.00          .1294E+00      249.3          .2716E+00 
62.00          .1551E+00      254.8          .3183E+00 
61.00          .1851E+00      259.7          .3728E+00 
60.00          .2199E+00      268.1          .4291E+00 
59.00          .2602E+00      272.0          .5004E+00 
58.00          .3073E+00      276.0          .5825E+00 
57.00          .3618E+00      281.3          .6732E+00 
56.00          .4247E+00      288.9          .7694E+00 
55.00          .4959E+00      299.4          .8671E+00 
54.00          .5760E+00      309.5          .9745E+00 
53.00          .6659E+00      319.8          .1091E+01 
52.00          .7665E+00      329.5          .1219E+01 
51.00          .8788E+00      338.7          .1360E+01 
50.00          .1004E+01      347.3          .1515E+01 
49.00          .1144E+01      355.3          .1688E+01 
48.00          .1299E+01      364.9          .1867E+01 
47.00          .1471E+01      371.8          .2075E+01 
46.00          .1662E+01      379.4          .2298E+01 
45.00          .1874E+01      384.4          .2558E+01 
44.00          .2109E+01      389.4          .2843E+01 
43.00          .2371E+01      394.8          .3153E+01 
42.00          .2661E+01      401.4          .3482E+01 
41.00          .2981E+01      407.9          .3839E+01 
40.00          .3334E+01      414.7          .4223E+01 
39.00          .3722E+01      421.6          .4638E+01 
38.00          .4147E+01      428.1          .5092E+01 
37.00          .4615E+01      435.1          .5575E+01 
36.00          .5125E+01      443.0          .6082E+01 
35.00          .5682E+01      450.3          .6636E+01 
34.00          .6289E+01      458.4          .7217E+01 
33.00          .6950E+01      466.3          .7841E+01 
32.00          .7666E+01      474.6          .8500E+01 
31.00          .8443E+01      482.9          .9200E+01 
30.00          .9283E+01      491.8          .9935E+01 
29.00          .1019E+02      500.5          .1072E+02 
28.00          .1117E+02      508.8          .1155E+02 
27.00          .1222E+02      517.1          .1244E+02 
26.00          .1336E+02      524.9          .1340E+02 
25.00          .1458E+02      533.7          .1438E+02 
24.00          .1589E+02      542.2          .1543E+02 
23.00          .1730E+02      550.5          .1654E+02 
22.00          .1880E+02      558.7          .1771E+02 
21.00          .2042E+02      567.0          .1895E+02 
20.00          .2214E+02      575.5          .2025E+02 
19.00          .2399E+02      583.7          .2162E+02 
18.00          .2596E+02      590.6          .2312E+02 
17.00          .2806E+02      598.7          .2466E+02 
16.00          .3031E+02      606.1          .2629E+02 
15.00          .3271E+02      613.9          .2799E+02 
14.00          .3526E+02      620.9          .2982E+02 
13.00          .3797E+02      627.8          .3175E+02 
12.00          .4086E+02      636.0          .3371E+02 
11.00          .4394E+02      642.6          .3586E+02 
10.00          .4720E+02      651.3          .3798E+02 
9.00           .5066E+02      658.5          .4028E+02 
8.00           .5432E+02      666.6          .4262E+02 
7.00           .5820E+02      673.9          .4514E+02 
6.00           .6231E+02      681.9          .4770E+02 
5.00           .6665E+02      690.1          .5037E+02 
4.00           .7123E+02      698.4          .5314E+02 
3.00           .7606E+02      706.3          .5602E+02 
2.00           .8115E+02      715.1          .5893E+02 
1.00           .8652E+02      722.7          .6208E+02 
0.00           .9216E+02      730.9          .6528E+02 

Altitudes are relative to the sounder probe landing site. R0=6052.0 km, 
g0=8.8694 m/s2, mu=43.44.                               
                                   
                                   
Lower Atmosphere State Properties:  Day Probe                                   

ALTITUDE,      PRESSURE,      TEMPERATURE,   PRESSURE,                 
(KM)           (bars)         (K)            (kg/m3)  
                                   
66.85          .6407E-01      233.2          .1436E+00 
66.00          .7551E-01      236.1          .1673E+00 
65.00          .9130E-01      239.4          .1995E+00 
64.00          .1102E+01      242.8          .2374E+00 
63.00          .1328E+00      246.2          .2820E+00 
62.00          .1595E+00      249.4          .3345E+00 
61.00          .1912E+00      252.8          .3955E+00 
60.00          .2285E+00      257.6          .4641E+00 
59.00          .2722E+00      263.9          .5395E+00 
58.00          .3227E+00      271.1          .6228E+00 
57.00          .3806E+00      280.9          .7091E+00 
56.00          .4464E+00      291.3          .8022E+00 
