Altitude,Pressure,TempKelvin
1380.156,5.606660000e-12,187.051
1378.394,5.708350000e-12,185.248
1376.632,5.816420000e-12,177.768
1374.87,5.925450000e-12,179.912
1373.108,6.036630000e-12,179.913
1371.346,6.151550000e-12,177.495
1369.584,6.269650000e-12,176.189
1367.823,6.391080000e-12,174.828
1366.061,6.514660000e-12,175.25
1364.299,6.642320000e-12,173.373
1362.538,6.771250000e-12,175.133
1360.777,6.903530000e-12,174.186
1359.016,7.035470000e-12,178.121
1357.255,7.171650000e-12,176.066
1355.494,7.313850000e-12,172.102
1353.733,7.456600000e-12,175.164
1351.972,7.603020000e-12,174.28
1350.211,7.751180000e-12,175.732
1348.451,7.900790000e-12,177.538
1346.69,8.056600000e-12,173.981
1344.93,8.216990000e-12,172.745
1343.169,8.379590000e-12,173.919
1341.409,8.546780000e-12,172.666
1339.649,8.720200000e-12,169.98
1337.889,8.897780000e-12,169.523
1336.129,9.081760000e-12,167.15
1334.369,9.266040000e-12,170.622
1332.609,9.456280000e-12,168.806
1330.85,9.649960000e-12,169.349
1329.09,9.845740000e-12,171.08
1327.331,1.004630000e-11,170.537
1325.571,1.025300000e-11,169.012
1323.812,1.046520000e-11,168.443
1322.053,1.068320000e-11,167.466
1320.294,1.090630000e-11,167.177
1318.535,1.113810000e-11,164.435
1316.776,1.137120000e-11,167.128
1315.017,1.161220000e-11,165.244
1313.258,1.185800000e-11,165.727
1311.5,1.210600000e-11,167.866
1309.741,1.235940000e-11,167.821
1307.983,1.261880000e-11,167.564
1306.225,1.288270000e-11,168.334
1304.467,1.315230000e-11,168.477
1302.708,1.343070000e-11,166.725
1300.95,1.371490000e-11,166.996
1298.588,1.410240000e-11,169.381
1296.831,1.439770000e-11,169.029
1295.073,1.469990000e-11,168.772
1293.315,1.501170000e-11,167.322
1291.558,1.532880000e-11,168.164
1289.801,1.565350000e-11,167.872
1288.043,1.598580000e-11,167.672
1286.286,1.632480000e-11,167.929
1284.529,1.667550000e-11,166.181
1282.772,1.703720000e-11,164.708
1281.015,1.740720000e-11,164.681
1279.259,1.778620000e-11,164.406
1277.502,1.817270000e-11,164.863
1275.745,1.856680000e-11,165.307
1273.989,1.896940000e-11,165.644
1272.233,1.938120000e-11,165.593
1270.476,1.980050000e-11,166.275
1268.72,2.023220000e-11,165.193
1266.964,2.067140000e-11,166.012
1265.208,2.112080000e-11,165.914
1263.452,2.158260000e-11,165.285
1261.697,2.205470000e-11,165.38
1259.941,2.253710000e-11,165.496
