Altitude,Pressure,TempKelvin
232.5,0.00025,96.1
227.7,0.00028,100.1
222.7,0.00032,105.3
217.5,0.00035,110.4
212.1,0.0004,113.4
206.6,0.00045,113.3
201.4,0.0005,107.3
196.4,0.00056,98
191.9,0.00063,90.8
187.7,0.00071,85.6
183.6,0.00079,80.8
179.8,0.00089,75.8
176.3,0.001,73
172.8,0.00112,71
169.4,0.00126,70.2
166,0.00141,69.4
162.6,0.00158,68.6
159.4,0.00178,67.8
156.1,0.002,67
152.9,0.00224,66.8
149.7,0.00251,66.8
146.4,0.00282,67.1
143.1,0.00316,68.2
139.9,0.00355,68.8
136.5,0.00398,68.7
133.2,0.00447,68.1
130,0.00501,67.9
126.7,0.00562,67
123.6,0.00631,64.6
120.5,0.00708,63.3
117.4,0.00794,63.6
114.4,0.00891,63.4
111.3,0.01,63.4
108.2,0.01122,64.6
105.1,0.01259,66.1
101.9,0.01413,66.6
98.8,0.01585,59.6
96,0.01778,58.7
93.2,0.01995,58.2
90.4,0.02239,57.3
87.7,0.02512,56.6
85,0.02818,56
82.3,0.03162,55.5
79.7,0.03548,55.1
77,0.03981,54.8
74.4,0.04467,54.6
71.8,0.05012,54.1
69.2,0.05623,53.7
66.6,0.0631,53.6
64.1,0.07079,53.6
61.5,0.07943,53.5
59,0.08913,53.4
56.4,0.1,53.2
54.4,0.10965,53
52.3,0.12023,53.1
50.3,0.13183,53.2
48.3,0.14454,53.5
46.2,0.15849,53.5
44.2,0.17378,53.8
42.1,0.19055,54.2
40,0.20893,54.5
37.9,0.22909,54.8
35.8,0.25119,55.2
33.7,0.27542,55.5
31.6,0.302,56.1
29.4,0.33113,56.6
27.3,0.36308,57.4
25.1,0.39811,58.3
22.8,0.43652,59.3
20.5,0.47863,60.6
18.2,0.52481,62
17,0.54954,62.7
15.8,0.57544,63.6
14.6,0.60256,64.4
13.3,0.63096,65.3
12.1,0.66069,66.2
10.8,0.69183,67.1
9.5,0.72444,68.1
8.2,0.75858,69.2
6.9,0.79433,70.3
5.6,0.83176,71.4
4.2,0.87096,72.6
2.8,0.91201,73.8
1.4,0.95499,75.1
0,1,76.4
-1.4,1.04713,77.8
-2.9,1.09648,79.3
-3.5,1.11686,79.9
-4.1,1.13763,80.6
-4.7,1.15878,81.1
-5.3,1.18032,81.6
-5.9,1.20226,82
-6.4,1.22462,82.4
-7,1.24738,82.7
-7.6,1.27057,83
-8.1,1.2942,83.4
-8.7,1.31826,83.9
-10.1,1.38038,85.2
-11.5,1.44544,86.6
-13,1.51356,87.9
-14.5,1.58489,89.2
-16,1.65959,90.6
-17.5,1.7378,91.9
-19.1,1.8197,93.2
-20.7,1.90546,94.6
-22.3,1.99526,96
-23.9,2.0893,97.5
-25.5,2.18776,99
-27.2,2.29087,100.6
-27.5,2.30881,100.9
