Altitude,Pressure,TempKelvin
348,4.140000000e-13,709.5
338,4.890000000e-13,709.5
328,5.820000000e-13,709.5
318,7.010000000e-13,709.5
308,8.510000000e-13,709.5
298,1.050000000e-12,709.4
288,1.300000000e-12,709.4
278,1.640000000e-12,709.4
268,2.100000000e-12,709.4
258,2.750000000e-12,709.4
248,3.690000000e-12,709.4
238,5.070000000e-12,709
228,7.200000000e-12,707.8
218,1.060000000e-11,705.5
208,1.620000000e-11,700.8
198,2.580000000e-11,691.5
188,4.280000000e-11,674.9
178,7.510000000e-11,641.4
168,1.410000000e-10,591
158,2.980000000e-10,502.4
148,7.790000000e-10,378.4
138,3.010000000e-09,268
128,1.910000000e-08,214
118,1.590000000e-07,203.9
116,5.199000000e-07,190.2
114,8.255000000e-07,190.2
112,1.318000000e-06,190.2
110,2.075000000e-06,194.4
108,3.273000000e-06,196.3
106,5.171000000e-06,190.1
104,8.338000000e-06,183
102,1.362000000e-05,180.7
100,2.252000000e-05,174.1
98,3.773000000e-05,173.3
96,6.350000000e-05,168.9
94,1.078000000e-04,168.9
92,1.848000000e-04,167.1
90,3.168000000e-04,165.4
88,5.469000000e-04,165.2
86,9.402000000e-04,163.8
84,1.634000000e-03,164.7
82,2.757000000e-03,181.1
80,4.449000000e-03,195.8
79,5.577000000e-03,204.1
78,6.926000000e-03,212.4
77,8.553000000e-03,215.1
76,1.054000000e-02,216.9
75,1.296000000e-02,221.1
74,1.587000000e-02,227.3
73,1.934000000e-02,227.8
72,2.349000000e-02,233.5
71,2.850000000e-02,234.9
70,3.440000000e-02,243.5
69,4.166000000e-02,230.5
64.83,9.250000000e-02,246.3
64,1.078000000e-01,247
63,1.294000000e-01,249.3
62,1.551000000e-01,254.8
61,1.851000000e-01,259.7
60,2.199000000e-01,268.1
59,2.602000000e-01,272
58,3.073000000e-01,276
57,3.618000000e-01,281.3
56,4.247000000e-01,288.9
55,4.959000000e-01,299.4
54,5.760000000e-01,309.5
53,6.659000000e-01,319.8
52,7.665000000e-01,329.5
51,8.788000000e-01,338.7
50,1.004000000e+00,347.3
49,1.144000000e+00,355.3
48,1.299000000e+00,364.9
47,1.471000000e+00,371.8
46,1.662000000e+00,379.4
45,1.874000000e+00,384.4
44,2.109000000e+00,389.4
43,2.371000000e+00,394.8
42,2.661000000e+00,401.4
41,2.981000000e+00,407.9
40,3.334000000e+00,414.7
39,3.722000000e+00,421.6
38,4.147000000e+00,428.1
37,4.615000000e+00,435.1
36,5.125000000e+00,443
35,5.682000000e+00,450.3
34,6.289000000e+00,458.4
33,6.950000000e+00,466.3
32,7.666000000e+00,474.6
31,8.443000000e+00,482.9
30,9.283000000e+00,491.8
29,1.019000000e+01,500.5
28,1.117000000e+01,508.8
27,1.222000000e+01,517.1
26,1.336000000e+01,524.9
25,1.458000000e+01,533.7
24,1.589000000e+01,542.2
23,1.730000000e+01,550.5
22,1.880000000e+01,558.7
21,2.042000000e+01,567
20,2.214000000e+01,575.5
19,2.399000000e+01,583.7
18,2.596000000e+01,590.6
17,2.806000000e+01,598.7
16,3.031000000e+01,606.1
15,3.271000000e+01,613.9
14,3.526000000e+01,620.9
13,3.797000000e+01,627.8
12,4.086000000e+01,636
11,4.394000000e+01,642.6
10,4.720000000e+01,651.3
9,5.066000000e+01,658.5
8,5.432000000e+01,666.6
7,5.820000000e+01,673.9
6,6.231000000e+01,681.9
5,6.665000000e+01,690.1
4,7.123000000e+01,698.4
3,7.606000000e+01,706.3
2,8.115000000e+01,715.1
1,8.652000000e+01,722.7
0,9.216000000e+01,730.9
